,FOS_Mean,FOS_Variance,FOS_Median,FOS_Mode,FOS_Skewness,FOS_Kurtosis,FOS_Energy,FOS_Entropy,FOS_MinimalGrayLevel,FOS_MaximalGrayLevel,FOS_CoefficientOfVariation,FOS_10Percentile,FOS_25Percentile,FOS_75Percentile,FOS_90Percentile,FOS_HistogramWidth,Label
6093,129.48904,563.6021,128.0,114.0,0.20829383,3.0867095,0.01323821,4.5343614,62.0,210.0,0.08737193,99.0,114.0,143.0,160.0,61.0,0
920,59.442585,415.76166,56.0,43.0,0.61948705,2.5467153,0.017279768,4.2594976,23.0,125.0,0.12589148,36.0,43.0,73.0,90.0,54.0,0
3832,130.55731,474.27435,133.0,114.0,-0.85024047,3.5636578,0.01530245,4.386857,48.0,188.0,0.08833333,102.0,117.0,147.0,154.0,52.0,0
3569,101.35288,858.0038,100.0,112.0,0.26199102,3.1325939,0.0116983615,4.7041397,22.0,197.0,0.09866518,63.0,83.0,115.0,143.0,80.0,0
6024,167.45343,696.0391,166.0,161.0,-0.23490661,3.0789306,0.011433146,4.628862,54.0,232.0,0.076941386,135.0,149.0,185.0,203.0,68.0,1
5101,166.80914,914.3905,176.0,189.0,-1.5504125,5.1809764,0.015355726,4.491329,43.0,215.0,0.07953101,124.0,153.0,188.0,194.0,70.0,1
523,132.6653,2270.2405,143.0,167.0,-0.3883233,2.091609,0.0067620487,5.134718,13.0,225.0,0.09013858,63.0,92.0,169.0,188.0,125.0,1
3140,126.174416,1769.4443,125.0,77.0,-0.023812873,1.9228953,0.0073037655,5.0374146,23.0,229.0,0.088610195,73.0,89.0,162.0,181.0,108.0,1
6166,107.03444,2985.7292,119.0,16.0,-0.34254155,1.8134073,0.0064323433,5.1624374,3.0,207.0,0.10191778,23.0,56.0,153.0,171.0,148.0,0
4986,160.85963,234.4981,159.0,159.0,0.08130664,2.6476674,0.01905166,4.103222,114.0,213.0,0.07838834,140.0,149.0,171.0,181.0,41.0,0
2043,78.101685,1280.5085,80.0,34.0,0.052379675,1.8545536,0.010247237,4.7629757,14.0,178.0,0.114520855,30.0,42.0,108.0,123.0,93.0,0
