,0,1,2,3,4,5,6,Label
0,2.3518548,7.480028,8.617287,8.305924,-18.195166,-12.396771,-16.767834,0
1,2.831026,7.7639275,11.365699,11.270289,22.610044,-15.576204,23.09861,0
2,2.957602,8.103365,10.779592,11.807578,-23.2335,-15.861325,-23.271519,1
3,2.8455846,10.320335,10.776268,10.479496,-21.539865,15.639814,-21.139238,0
4,2.9033723,8.107745,11.16098,11.825183,-23.341112,-15.899872,-23.818546,0
5,2.5243957,9.028974,9.565092,9.642388,19.26808,-14.1629305,19.754662,0
6,1.783529,6.459725,7.798583,7.926256,15.789349,11.160002,17.043308,0
7,2.3544974,5.7810974,9.114731,8.994086,-18.123652,11.982131,-18.315384,0
8,3.01004,10.51525,12.162646,12.141487,-24.397638,17.49449,24.503204,0
9,2.817366,8.972659,10.473688,10.466115,20.948011,15.08751,21.570856,0
10,2.797438,9.168799,12.519097,11.80761,-24.18303,16.392015,-24.073574,0
11,2.659635,10.286082,11.823854,11.256772,23.894348,16.459888,22.798477,0
12,2.2657719,5.877492,8.589344,8.295782,-16.755934,11.23666,-17.29283,0
13,2.8061666,9.133839,12.516143,12.63801,25.487406,17.220875,-25.288036,0
14,2.4684722,6.807802,9.599096,9.852508,19.59509,13.578994,-20.142597,1
15,3.063164,8.799141,11.751395,11.922176,-24.499348,-16.34058,-23.76626,0
16,2.902957,9.193826,11.7918,13.58683,26.286947,18.864294,26.93314,1
17,2.8885872,9.116176,11.403031,11.679602,-23.30266,16.238636,23.472666,1
18,2.824806,7.3186913,9.998482,10.845438,-21.538593,-14.542226,21.3408,0
19,2.6583955,6.931591,9.274625,10.147362,-20.384613,-13.676078,-19.878502,0
20,3.06168,8.937998,12.372694,12.134557,24.559904,-16.62009,24.519377,1
21,2.5194628,7.3349442,9.253818,9.547454,19.561323,-13.232626,18.961378,0
22,2.8400989,9.051477,12.063269,11.126165,-22.999784,15.662456,22.791258,0
23,2.9027584,9.986785,12.148915,12.791586,-25.261944,-17.815992,-26.916088,0
24,2.5551682,7.3568974,9.455908,9.282004,19.8933,-12.9626255,-18.651672,0
25,2.9646277,10.160776,11.851148,11.747028,-24.625315,17.314447,-23.547628,0
26,2.1030293,6.2297564,8.170715,7.8654532,16.179924,11.013287,-15.947577,0
27,2.3715365,7.5396276,8.6729145,8.627939,-17.424597,12.432192,17.43325,0
28,2.8630128,8.11245,11.337433,11.156035,23.094625,-15.28035,-22.411936,0
29,2.7886126,8.966758,10.830759,10.855734,22.32669,15.950967,21.711388,0
30,2.840537,9.431845,11.920838,11.412767,-23.173168,-16.359467,-23.307434,0
31,2.7623003,9.846702,12.765317,11.532204,-24.231077,-16.884188,23.698925,0
32,3.0154805,10.328147,12.052376,13.557286,-26.56502,19.072378,26.470459,1
33,2.7994409,8.071738,10.783398,10.573312,21.438274,15.2224655,-21.371243,0
34,2.2974422,7.9007792,8.528685,8.406932,17.059431,13.501878,16.995735,0
35,2.772084,7.887341,10.255911,10.81227,-21.427376,-14.756384,-21.599705,0
36,2.8407547,7.777885,10.793631,10.748484,21.521576,-15.401627,-22.534624,0
37,2.5366669,6.917536,9.091407,9.095219,-18.439157,-12.564151,18.270786,0
38,2.7022412,8.0477705,10.888984,11.270403,-22.36622,15.338749,-22.922726,0
39,2.8829036,10.859844,12.284378,12.152132,24.872873,18.765743,-24.39299,0
40,2.687338,6.778345,9.236266,9.507047,-19.425749,-12.946491,-18.896933,0
41,2.915959,8.678176,11.034768,11.559689,-23.009869,16.57507,23.005022,1
42,3.017882,9.963001,11.67773,12.167455,-24.350136,17.366123,-24.16808,1
43,2.9587433,9.669711,12.761276,13.032263,26.101938,-18.332645,26.059252,1
44,2.8110275,9.572392,11.8151245,12.040173,24.268604,-16.828417,-24.030373,1
45,2.830373,12.059809,12.923796,14.747407,28.663424,-20.862944,28.837683,0
46,2.9770126,8.395065,11.865495,11.231508,-22.781559,-15.436208,23.854317,1
47,3.008615,9.156673,11.622098,11.611722,-23.580942,-16.190697,23.276386,1
48,2.7770624,6.8955383,9.516415,10.137256,-20.268108,14.00771,20.025572,1
49,2.977422,10.65303,12.779404,12.96071,-25.871935,18.891773,26.212124,0
50,3.0448422,8.687583,11.973832,12.676677,25.207346,-17.320873,25.108664,0
51,2.909266,9.762863,12.051622,11.01339,-22.589106,-16.624073,-22.917723,1
52,2.8977,10.344625,11.961732,11.69098,23.640024,-17.30763,23.699776,0
53,2.8027263,9.328913,11.976664,11.427849,-23.337029,16.099821,23.235884,0
54,2.9664373,8.868475,12.093003,12.725048,25.238098,17.164515,-25.343824,1
55,2.7797334,9.841383,11.456784,11.575451,23.153713,17.261732,23.393574,0
56,2.7131035,6.467067,9.600179,9.328642,-18.798079,-13.3053875,-19.613298,1
57,2.9007661,8.959012,11.340157,12.063022,-23.845354,-16.58149,-24.018555,0
58,2.4782357,7.1230125,9.058893,9.0794525,18.154373,-12.727156,-18.940132,0
59,2.8187141,6.671887,9.688811,10.210717,-20.567877,-13.706984,-20.196587,0
60,2.611491,8.521578,10.96516,10.425174,21.801867,14.874667,-21.129965,0
61,2.6831923,7.9432383,9.730423,9.722346,19.475384,-13.734192,-19.917439,0
62,2.798353,8.2232895,10.363281,10.509354,21.00131,15.862822,-21.26858,0
63,2.9602332,8.776705,13.04886,11.630749,23.973274,-16.090107,24.92293,1
64,3.03472,9.1251335,10.615065,13.214167,25.166086,-17.818884,-25.529669,1
65,2.8277805,8.836211,11.262509,11.424715,22.77914,16.562067,23.425097,0
66,2.694916,6.64604,9.0251255,9.960149,-19.461924,-13.300073,20.145313,0
67,2.386394,7.051638,8.6051445,8.527043,-17.098402,-12.055022,-17.903444,0
68,2.8761241,8.744289,12.011122,12.557651,-26.986572,-17.144207,-24.842049,1
69,2.2364225,5.7032385,8.453545,8.097603,-16.388512,10.951769,16.956322,0
70,1.9905674,8.617829,12.507687,10.637931,-22.241833,15.678491,-22.648148,0
71,2.8318415,7.8027477,10.172603,10.375482,-20.951618,-14.305817,-20.71164,0
72,2.9900706,9.414661,11.588298,11.650055,23.38224,-16.364614,23.465113,0
73,2.9047685,7.4943757,10.050001,10.510704,-21.180721,-14.2637825,-20.83053,0
74,2.9745169,8.254244,10.764086,12.400047,24.227493,-17.549622,-24.066828,1
75,2.7208104,7.6542873,9.204802,8.846753,17.949903,-13.02343,18.134151,0
76,2.8177037,7.532519,9.9992075,10.81798,-21.411726,-14.628747,21.347221,0
77,2.930593,10.817203,11.827128,12.129203,24.109531,-18.472973,-25.109243,1
78,2.656362,6.4348817,8.859517,9.510918,-18.768248,-12.728455,18.970566,0
79,2.928167,8.474185,10.951111,11.941828,23.883657,-16.392195,-23.411697,0
80,2.6711898,7.6120706,9.4002495,9.301057,-18.688572,-13.362008,19.054964,0
81,2.9028165,7.849471,10.302227,10.801296,-21.393778,-14.735581,21.736572,0
82,2.4660413,6.5722013,9.080533,9.439632,-19.33519,-12.732329,18.711676,0
83,2.7326083,7.809077,10.750197,11.068258,22.206707,15.569052,22.070356,0
84,3.0342655,9.858144,12.4136,12.400182,24.823927,-18.927137,-25.370474,1
85,2.8819723,9.289087,11.472478,11.750418,-24.037617,-18.60993,23.371754,0
86,2.8147275,7.5163794,10.147068,10.685965,-21.108921,-14.67442,21.869585,0
87,2.8511026,8.486873,11.705732,11.389003,23.397655,15.658027,22.964008,1
88,3.0283177,9.642275,11.713959,11.419698,23.029018,-16.640892,23.361649,0
89,2.7791474,10.144196,11.955461,12.864208,-26.493755,-17.946201,-25.274834,0
90,2.4727037,7.362769,9.004528,8.30094,-17.407087,12.270692,-16.982405,0
91,3.0574896,8.283675,11.141655,12.179563,-23.895494,-16.355722,24.164167,0
92,2.8718445,7.525368,10.746303,11.91218,23.277561,16.156725,-23.64863,0
93,2.7836106,8.889257,12.472012,11.229908,23.084703,-16.49708,-23.959269,1
94,2.744399,7.569205,12.341753,11.052256,-22.843914,-14.884432,22.975178,0
95,2.811128,6.9152994,9.476631,10.314795,-20.273373,-13.793073,-20.510353,0
96,2.9394302,8.779555,12.214722,12.900992,25.51766,18.31228,-25.771238,1
97,2.8402557,7.4788566,10.197371,11.12739,-22.74642,-14.920067,-21.792437,0
98,2.773166,7.990033,9.906267,10.229561,20.305593,-14.605272,21.015177,0
99,2.7697494,7.1364193,9.712053,9.7214155,19.645618,-13.293074,-19.543587,0
100,2.8089635,9.493151,12.853904,12.016026,24.451134,-16.771742,-26.03921,0
101,2.6046324,7.6800475,9.248332,8.821305,18.795761,13.286952,17.85901,0
102,2.0672436,6.1172137,7.516634,7.099533,-15.08689,11.409404,-14.417342,0
103,2.7940042,7.156168,9.735848,9.684748,-19.770977,-13.383288,-19.437363,0
104,2.4824717,7.7544365,10.134191,10.644601,21.246317,-14.829875,21.136457,0
105,2.9939773,10.213674,13.36423,14.210944,-28.109598,19.453352,-28.197287,0
106,2.9841695,8.324082,11.446121,12.088584,-23.905197,16.64537,24.202225,1
107,2.4534411,7.341834,8.805507,8.592881,18.179466,-12.369978,17.295753,0
108,2.5093112,7.3202424,9.459396,9.552467,21.40725,-13.233598,-19.058403,0
109,2.8274624,8.838542,10.636118,11.379496,23.036236,15.902113,22.398523,0
110,2.986891,8.873451,12.489669,12.063925,24.350216,17.015213,25.025122,0
111,2.9425182,8.847643,12.116269,11.65157,23.73475,-16.103355,23.64622,0
112,2.7480924,8.490288,11.43713,11.374002,-24.88022,-15.701566,22.779583,0
113,2.4897106,7.326871,9.377992,9.145878,-18.521677,-12.809693,-18.602446,0
114,2.9291751,9.432626,12.494705,11.843776,-24.205124,17.49073,24.12864,0
115,2.8662367,10.0396595,11.570362,11.852604,-23.74445,16.8915,-23.688368,1
116,2.7001343,6.9517627,9.844079,9.704088,19.494986,-13.180214,-20.042063,0
117,2.7739866,8.531526,10.949246,10.720894,-21.622648,-14.98858,-21.84482,0
118,2.8649547,9.725979,11.953125,11.738119,-23.60073,-16.891382,24.145475,0
119,2.7705965,7.8653984,10.58999,11.028261,-22.571724,-15.105762,-21.844896,0
120,2.72858,7.0086107,9.349832,10.456978,-20.768286,-14.003697,-20.396397,1
121,2.8102028,9.611052,12.400605,11.807849,24.138416,-16.843273,24.0065,0
122,3.0083528,7.82918,10.592516,12.218481,23.62991,16.406897,-24.408783,1
123,2.8906379,8.299316,12.094653,13.043124,25.881014,-17.193064,-25.686304,0
124,2.8036091,9.933862,10.655817,10.595846,21.41111,-16.004852,-21.339201,0
125,2.7697504,7.156708,10.167505,10.525547,-21.646297,-14.170184,-20.878304,0
126,2.8494904,9.126143,14.06193,12.12325,-25.355848,-16.694506,25.377396,1
127,2.8575232,10.240613,12.427693,12.439041,24.943188,-18.406294,-25.150259,0
128,2.7121906,7.592877,11.016175,10.667224,22.737457,14.751265,21.509684,0
129,2.8564951,8.126064,11.182474,11.033985,-22.259691,-16.19192,-22.331713,1
130,2.9167023,9.073374,12.381528,12.24737,24.819504,-16.96594,-24.6409,0
131,2.7263365,7.6885595,10.245467,10.630504,-21.080626,-14.487028,-21.700861,0
132,2.955589,8.673347,11.854693,13.372797,26.659578,-18.697178,-25.996557,0
133,2.9424324,9.795568,11.734482,12.184984,-24.147402,-17.487438,-25.09997,1
134,2.7078474,8.264428,12.045679,11.118281,-22.723932,-15.483014,-23.193266,0
135,2.9288626,8.420562,11.15955,11.552927,22.950422,-16.49642,-23.290098,1
136,2.8686814,7.489175,9.978156,10.886621,21.731956,-15.055047,-21.354126,0
137,2.8547974,8.487763,11.839246,11.855018,23.747427,-16.215153,24.064829,0
138,2.989526,9.048468,12.688905,12.667617,25.349522,17.965696,26.235216,0
139,2.6190681,7.262486,9.377673,9.872048,-19.527746,-13.503591,-19.935993,0
140,2.8431234,9.484046,12.402356,12.203159,24.601347,-17.709728,-24.730423,1
141,2.939747,7.258687,9.846138,11.552044,-22.282265,-15.191062,22.688303,1
142,3.009581,8.016762,11.497509,12.621064,-24.951492,16.77093,-24.75377,1
143,2.734146,8.740689,11.015321,10.609921,-21.97094,14.993309,21.440655,0
144,2.8873925,9.599775,13.054815,12.026159,-24.56668,17.670914,-26.463083,0
145,2.9973826,10.489336,11.910849,12.369396,-24.683172,-17.826172,24.639126,0
146,2.8158348,7.7708163,10.422132,11.780219,23.82552,15.674889,-22.88422,0
147,2.8393881,9.087306,11.632136,11.461207,23.068773,-16.046469,23.313707,0
148,2.8240595,9.856297,11.850713,12.237311,-26.264902,17.25884,-24.281347,0
149,2.8596852,8.153998,10.972141,11.07029,22.122423,15.256145,-22.53005,1
150,2.8787537,8.737802,12.065628,11.107775,23.209545,15.526872,-22.715744,1
151,2.8044548,9.864051,12.942694,13.380205,26.550571,-18.353666,-27.239342,0
152,2.7737958,8.530833,11.730471,11.714171,23.864628,16.244818,23.469048,0
153,2.725642,7.961329,10.279744,11.346206,22.159933,-15.607494,23.389475,0
154,2.8333874,8.88961,11.705612,11.295514,22.948793,15.747855,22.944412,0
