,LTE_LL_5,LTE_EE_5,LTE_SS_5,LTE_LE_5,LTE_ES_5,LTE_LS_5,Label
930,1571.604,44.021984,15.2213545,176.44707,25.065416,84.56556,0
2498,3541.0828,44.617603,14.858965,234.34259,24.643389,87.70041,0
3618,4554.715,29.848469,12.930459,112.84953,19.277308,59.613846,0
1712,375.8939,43.238613,20.984768,125.49009,30.05184,87.2409,0
6089,3905.2236,59.149765,18.671305,287.0012,31.70587,114.17792,0
2785,6952.231,64.06023,23.308111,243.91428,37.867626,126.775925,0
1353,8494.714,44.681602,16.680872,210.20969,26.28781,87.57454,0
4006,7555.967,40.346127,16.127335,141.70934,24.996908,72.94581,0
153,4685.527,70.78925,21.813368,329.1147,37.728016,136.66435,1
2833,3928.4558,49.40426,16.559057,217.9464,27.520601,95.23304,0
2011,384.9654,22.528126,8.493089,71.465775,13.405348,37.525654,0
2613,3846.8389,79.822525,38.612213,240.09149,55.55287,161.7825,0
4905,4587.747,42.83513,14.627611,218.88962,23.925852,83.40142,0
1632,5882.0596,66.37943,23.483349,287.80234,38.17585,129.57535,0
1245,8113.064,61.441032,21.975382,251.88522,35.757336,120.85175,0
644,16169.801,51.7055,16.052494,285.14432,27.396843,99.62078,1
6065,7100.965,59.064114,20.276833,264.79822,33.28253,114.51544,0
1560,7129.465,44.892155,14.82749,207.434,24.944954,88.813545,0
4377,4492.342,62.67556,23.395008,256.1328,37.182823,125.21163,0
5205,5833.7705,69.38945,20.630121,395.18918,35.69419,133.82306,1
1756,5056.8774,58.4638,18.044012,298.625,30.622105,110.37909,0
2290,5176.1167,55.496983,18.737293,257.50607,31.019302,108.63107,1
2047,4630.4204,65.34357,22.74191,299.11923,37.25572,129.63037,0
4135,2928.2917,25.419924,11.199164,88.55186,16.587399,50.520638,0
4206,5923.4863,73.39653,23.768906,362.76047,39.482967,139.74745,1
3578,7900.5054,49.786453,18.766327,229.02687,29.57836,98.07463,0
1455,10763.974,41.02132,16.661428,181.46956,25.682829,87.75801,0
1014,11760.038,50.682827,16.728405,244.53693,27.914137,97.009735,0
1127,1437.7836,29.262636,11.735929,126.680504,17.921753,60.438393,0
5521,9561.12,48.10279,17.81646,223.82985,28.20351,95.68576,0
1516,7750.5537,39.167843,16.648436,162.94014,24.816793,76.84778,0
5407,2397.104,55.50555,20.110178,224.3789,32.513126,108.91453,0
145,8231.327,54.59905,18.902046,223.289,31.476885,107.06144,1
4515,11970.543,51.0794,19.103745,242.45949,30.276974,100.08451,0
264,10794.236,62.45775,21.103474,328.5004,34.47738,123.16786,1
1456,10224.75,55.359577,20.065681,245.31126,32.528934,114.420975,0
2168,11592.622,35.73513,11.267085,197.27606,18.867104,71.18252,0
4877,2998.9592,41.38649,17.054533,157.60423,26.009903,82.78604,0
4517,6454.9688,22.045288,8.179231,113.336655,12.744121,47.66421,0
1636,2897.4158,36.57344,12.319259,146.49034,20.435465,68.65,0
5037,5843.727,66.53854,20.074009,319.5583,34.129173,119.769295,0
2645,2779.0444,25.92623,10.088978,122.96582,15.394333,52.378895,0
5448,3767.0696,59.936478,20.878633,281.33398,33.604485,113.79949,0
1369,8917.933,58.915493,22.10205,305.19672,34.814087,118.30159,0
4614,9165.409,34.74738,14.064494,160.15799,21.478228,70.82531,0
1195,2900.9414,54.24352,21.093016,220.78172,33.15301,108.86898,0
5491,3605.0054,51.779083,18.138132,213.65138,29.911642,103.67227,0
2685,9676.901,37.73975,13.299957,213.50449,21.17908,74.67988,0
5358,7850.867,79.28335,23.959751,447.40836,41.534435,155.20076,1
4281,3946.3943,71.427185,24.206951,331.0111,39.83017,137.17168,0
3249,8832.779,30.891838,11.218206,165.02869,17.696384,62.215286,0
4245,4499.4404,54.528183,18.217833,246.10042,30.297516,107.08041,0
4688,3893.7856,57.505867,20.784721,235.18042,33.62581,114.43293,0
5856,5575.655,51.314373,18.73183,232.44003,29.949917,105.41096,0
5236,1768.894,59.93832,20.932379,238.67096,34.608128,119.84641,0
3595,2495.1187,59.9285,20.137476,268.4808,33.67287,119.45614,0
564,13976.227,71.03523,19.61454,414.33026,34.9703,135.43494,1
863,2742.7473,59.776447,18.291649,275.4303,31.819645,117.34984,0
5656,6929.5513,67.43733,20.752731,322.92242,35.031242,121.26985,0
77,7550.0312,57.732872,20.665745,279.88608,32.9877,112.944695,1
5272,2544.7566,57.2429,20.00787,233.99744,32.722595,111.91495,0
5211,4429.467,59.41713,21.045994,260.06512,34.15224,115.35837,1
700,3428.909,72.4491,24.114674,350.52524,39.654263,141.26414,1
3904,1593.4105,40.420677,14.424219,158.38162,23.548975,78.74924,0
5927,4976.494,52.042797,24.876669,163.43846,35.95168,106.09991,0
5674,2133.6511,63.74685,24.290777,251.31676,38.400223,127.32719,0
1549,3333.4707,60.195606,20.471607,252.35376,34.18102,117.53307,0
908,3974.0652,66.480545,23.677563,293.62256,38.781174,135.16466,0
3141,4447.278,53.37447,18.642235,232.46661,30.207838,104.191635,0
3763,6812.8267,45.20733,16.852377,186.23433,26.786982,88.73098,0
5093,3048.4402,65.25545,23.982227,280.7152,38.141518,129.85419,0
2312,5647.607,49.589977,17.535795,250.64087,28.0657,97.500145,0
2722,4577.1616,67.55915,23.612474,291.56644,38.809204,132.53682,0
4598,5712.657,66.45941,24.349766,280.8557,39.171513,130.54474,0
2185,4938.692,66.071815,24.717432,258.59143,39.685627,143.35252,0
454,7153.2754,33.408028,12.543821,182.4514,19.508219,64.84537,1
1624,3659.8425,61.180878,21.820414,256.7697,35.679485,134.12585,0
3080,5069.85,71.83823,24.539347,317.81662,40.42366,140.69568,0
392,4378.3213,68.73545,19.601652,337.93433,34.32509,123.53656,1
5830,18530.143,160.856,27.217829,1054.4799,59.314083,250.11726,0
6153,7586.505,52.41611,19.443665,250.38182,30.828493,104.44416,0
4990,4132.289,76.273056,26.89749,324.96558,43.642403,149.3114,0
5606,4640.5327,64.14132,21.045902,306.0167,35.046257,129.64078,0
2760,3699.4197,70.23154,25.239313,293.9354,40.220417,131.79056,1
4197,6147.1753,61.71714,21.949987,287.74954,35.82925,122.50408,0
415,9141.441,68.60347,20.796787,385.02417,34.921547,126.09783,1
